"Year","Activity","Name","Allocation"
2010,"Protein meal","Farm Brands Limited",1214
2010,"Protein meal","Graeme Lowe Protein Limited",2416
2010,"Protein meal","Hawkes Bay Protein Limited",1289
2010,"Protein meal","Kakariki Proteins Limited",183
2010,"Protein meal","Keep It Clean Limited",343
2010,"Protein meal","PVL Proteins Limited",1083
2010,"Protein meal","Silver Fern Farms Limited",2464
2010,"Protein meal","Taranaki By-Products Ltd",4008
2010,"Protein meal","Taylor Preston Limited",542
2010,"Protein meal","Tegel Foods Limited",404
2010,"Protein meal","Value Proteins Ltd",299
2010,"Protein meal","Wallace Corporation Limited",3771
2010,"Reconstituted wood panels","Carter Holt Harvey Ltd",586
2010,"Reconstituted wood panels","Daiken New Zealand Limited",4248
2010,"Reconstituted wood panels","Dongwha New Zealand Limited",4284
2010,"Reconstituted wood panels","Fletcher Building Products Limited",837
2010,"Reconstituted wood panels","Juken New Zealand Ltd",1752
2010,"Reconstituted wood panels","Nelson Pine Industries Limited",7406
2010,"Tissue paper","Asaleo Care New Zealand Limited",10942
2010,"Whey powder","Fonterra Ltd",888
2011,"Aluminium smelting","New Zealand Aluminium Smelters Limited",437681
2011,"Burnt lime","Graymont (NZ) Limited",99423
2011,"Burnt lime","Holcim (New Zealand) Limited",8310
2011,"Burnt lime","Perry Lime Limited",153
2011,"Burnt lime","Perry Resources (2008) Ltd",7346
2011,"Burnt lime","Websters Hydrated Lime Company Limited",2457
2011,"Carbamide (urea)","Ballance Agri-Nutrients (Kapuni) Limited",119728
2011,"Carbon steel from cold ferrous feed","Fletcher Steel Limited",36095
2011,"Carbon steel from cold ferrous feed","KiwiRail Limited",74
2011,"Cartonboard","Whakatane Mill Limited",76828
2011,"Caustic soda","Oji Fibre Solutions (NZ) Limited",9150
2011,"Cementitious products","Fletcher Concrete and Infrastructure Limited",251367
2011,"Cementitious products","Holcim (New Zealand) Limited",171167
2011,"Clay bricks and field tiles","Clay Bricks Ltd",250
2011,"Clay bricks and field tiles","CSR Building Products (NZ) Ltd",1968
2011,"Clay bricks and field tiles","Marton Brick & Tile Co Limited",120
2011,"Cut roses","Daphne Avis Stocks, Stephen Lloyd Stocks",76
2011,"Cut roses","Elisabeth Margi Jordens, Theodorus Nicolaas Maria Jordens",24
2011,"Cut roses","Franko Roses New Zealand Limited",129
2011,"Cut roses","Jeffrey Guy Ward",74
2011,"Cut roses","John Hamilton Charles Falloon, Paul Gregory Whitehead, Suzanne Marie Whitehead",53
2011,"Cut roses","K & L Nurseries Limited",260
2011,"Cut roses","Moffatts Flower Company Limited",732
2011,"Cut roses","Riverland Holdings Limited",555
2011,"Cut roses","Robyn Ann Ogden-Robb, Trevor Charles Robb",110
2011,"Cut roses","Royal Roses Limited",32
2011,"Cut roses","Shipherd Nurseries Limited",746
2011,"Cut roses","Van Berlo Limited",132
2011,"Cut roses","Van Lier Nurseries Ltd",667
2011,"Ethanol","Anchor Ethanol Limited",5278
2011,"Fresh capsicums","Appleby Fresh Limited",51
2011,"Fresh capsicums","Buller Supplies Limited",19
2011,"Fresh capsicums","Flat-Tac Capsicums Limited",140
2011,"Fresh capsicums","Fresh West (2004) Limited",188
2011,"Fresh capsicums","Gourmet Mokai Limited",1601
2011,"Fresh capsicums","Gourmet Paprika Limited",3483
2011,"Fresh capsicums","Harbour Head Growers Limited",131
2011,"Fresh capsicums","Homestead Produce Ltd",579
2011,"Fresh capsicums","J.S.Ewers Ltd",588
2011,"Fresh capsicums","Kipps' Patch Limited",32
2011,"Fresh capsicums","M.C.H. & J. van Geest Nurseries Limited",230
2011,"Fresh capsicums","Maria Anna Van der Gulik, Pieter Van der Gulik",12
2011,"Fresh capsicums","Marion Matthews, Troy Jonathan Matthews",34
2011,"Fresh capsicums","Poppas Peppers 2009 Limited",200
2011,"Fresh capsicums","Sinai Hort Limited",351
2011,"Fresh capsicums","Southern Paprika Limited",4216
2011,"Fresh capsicums","Under Glass (Bombay) Ltd",300
2011,"Fresh capsicums","Under Glass (Karaka) Limited",538
2011,"Fresh capsicums","Whakatane Growers Limited",711
2011,"Fresh cucumbers","Alwyn Ernest Inger, Anne Marie Inger",355
2011,"Fresh cucumbers","Bin Wang, YING ZHOU",95
2011,"Fresh cucumbers","Exception Limited",1562
2011,"Fresh cucumbers","Hanna Hothouses Ltd",193
2011,"Fresh cucumbers","Hedger Greenhouse Limited",59
2011,"Fresh cucumbers","Hope Hot House Ltd",105
2011,"Fresh cucumbers","Island Horticulture Limited",659
2011,"Fresh cucumbers","J.S.Ewers Ltd",222
2011,"Fresh cucumbers","Jai Shankar Growers Limited",207
2011,"Fresh cucumbers","Karaka Park Produce Limited",345
2011,"Fresh cucumbers","Maria Anna Van der Gulik, Pieter Van der Gulik",11
2011,"Fresh cucumbers","Meenakshi Devi Sharma, Raj Kumar Sharma",890
2011,"Fresh cucumbers","Parkgard Growers 2000 Limited",63
2011,"Fresh cucumbers","PFD Produce Limited",157
2011,"Fresh cucumbers","QUALITY FOOD PROCESSORS LTD",141
2011,"Fresh cucumbers","Sharma Produce Limited",166
2011,"Fresh cucumbers","Under Glass (Bombay) Ltd",1400
2011,"Fresh cucumbers","Yearbury Holdings Limited",229
2011,"Fresh tomatoes","Ann Christine Fair, Graeme David Fair",7
2011,"Fresh tomatoes","Antone James Ivicevich, Joanne Elizabeth Gould Ivicevich",96
2011,"Fresh tomatoes","Brigitte Abma, Ferdinand Abma",161
2011,"Fresh tomatoes","Castle Rock Orchard Ltd",374
2011,"Fresh tomatoes","Dale Calderwood Frost, Elizabeth Kay Frost",28
2011,"Fresh tomatoes","Desma Claire Duncan, Edward Malcolm Duncan",11
2011,"Fresh tomatoes","Dong Hyuk Cha, Soo Hwan Cha",25
2011,"Fresh tomatoes","Douglas Eric Bone, Jacqueline Anne Duffy",6
2011,"Fresh tomatoes","Dulcie Margaret Turner, Trevor Allan Turner",46
2011,"Fresh tomatoes","Eseta Kovati, Reupena Kovati",16
2011,"Fresh tomatoes","Everard Matthew Sanders, Johanna Maria Sanders, Mathijs Albert Eduard Maria Sanders",276
2011,"Fresh tomatoes","Far Out Tomatoes 2003 Ltd",132
2011,"Fresh tomatoes","Faye Elizabeth Ormandy, Graeme Jaxon Ormandy",87
2011,"Fresh tomatoes","Gordon Edward Hackett",10
2011,"Fresh tomatoes","Gourmet Mokai Limited",1330
2011,"Fresh tomatoes","Great Lake Tomatoes Limited",1964
2011,"Fresh tomatoes","Han Jeon Kang, Jae Rang Kang",26
2011,"Fresh tomatoes","Hanna Hothouses Ltd",306
2011,"Fresh tomatoes","Helen Joy Petrie, Kevin Francis Petrie",306
2011,"Fresh tomatoes","Hye Young Jung, Kyounglae Lee",77
2011,"Fresh tomatoes","IL KYU AHN",32
2011,"Fresh tomatoes","J.S.Ewers Ltd",2287
2011,"Fresh tomatoes","Jae Young Hong, Sun Young Park",73
2011,"Fresh tomatoes","Ji-Im Park, Won Ha Park",58
2011,"Fresh tomatoes","Judith Kaye McArthur, Steven Edward McArthur",2
2011,"Fresh tomatoes","Karamea Tomatoes Limited",397
2011,"Fresh tomatoes","Kingbridge Ltd",48
2011,"Fresh tomatoes","Lai Ying Cuby Ng, Wa Chit Chan",34
2011,"Fresh tomatoes","Lee Wang Hothouse Limited",30
2011,"Fresh tomatoes","Little Knoll Greenhouses Ltd",260
2011,"Fresh tomatoes","Maria Anna Van der Gulik, Pieter Van der Gulik",9
2011,"Fresh tomatoes","Mary Jane Fausett, Peter James Fausett",73
2011,"Fresh tomatoes","Mengye Investments Ltd.",34
2011,"Fresh tomatoes","Michael Theodore Gargiulo, Vicki Thresa Gargiulo",278
2011,"Fresh tomatoes","New Zealand Fresh Floria Limited",28
2011,"Fresh tomatoes","Nortonta Limited",451
2011,"Fresh tomatoes","P H Kinzett Ltd",688
2011,"Fresh tomatoes","Parkgard Growers 2000 Limited",46
2011,"Fresh tomatoes","Pilcher Farms (Produce) Limited",18
2011,"Fresh tomatoes","Pomoana Gardens Limited",122
2011,"Fresh tomatoes","Rembrandt van Rijen Limited",1178
2011,"Fresh tomatoes","Status Produce Limited",6870
2011,"Fresh tomatoes","Ting-Yuan Robert Wu",70
2011,"Fresh tomatoes","Tiny Toms Limited",52
2011,"Fresh tomatoes","Under Glass (Bombay) Ltd",1646
2011,"Fresh tomatoes","Under Glass (Karaka) Limited",3095
2011,"Fresh tomatoes","Vege Fresh Growers Limited",132
2011,"Gelatine","GELITA NZ Ltd",2737
2011,"Glass containers","ACI OPERATIONS NZ LIMITED",30682
2011,"Hydrogen peroxide","EVONIK PEROXIDE LIMITED",10184
2011,"Iron and steel manufacturing from iron sand","New Zealand Steel Development Limited",989304
2011,"Lactose","Fonterra Ltd",21290
2011,"Market pulp","Oji Fibre Solutions (NZ) Limited",138613
2011,"Market pulp","Pan Pac Forest Products Limited",117962
2011,"Market pulp","Winstone Pulp International Limited",83617
2011,"Methanol","Methanex New Zealand Ltd",294153
2011,"Newsprint","Norske Skog Tasman Ltd",237752
2011,"Packaging and industrial paper","Carter Holt Harvey Ltd",21064
2011,"Packaging and industrial paper","Oji Fibre Solutions (NZ) Limited",120938
2011,"Protein meal","Affco New Zealand Limited",6302
2011,"Protein meal","Alliance Group Limited",6646
2011,"Protein meal","Blue Sky Meats (N.Z.) Limited",410
2011,"Protein meal","CMP Canterbury Limited",3260
2011,"Protein meal","CMP Kokiri Limited",797
2011,"Protein meal","Farm Brands Limited",2754
2011,"Protein meal","Graeme Lowe Protein Limited",4755
2011,"Protein meal","Hawkes Bay Protein Limited",2059
2011,"Protein meal","Kakariki Proteins Limited",393
2011,"Protein meal","Keep It Clean Limited",1231
2011,"Protein meal","Prime Range Meats Limited",468
2011,"Protein meal","PVL Proteins Limited",2213
2011,"Protein meal","Silver Fern Farms Limited",6840
2011,"Protein meal","Taranaki By-Products Ltd",8707
2011,"Protein meal","Taylor Preston Limited",1202
2011,"Protein meal","Tegel Foods Limited",808
2011,"Protein meal","Value Proteins Ltd",668
2011,"Protein meal","Wallace Corporation Limited",7281
2011,"Reconstituted wood panels","Carter Holt Harvey Ltd",1027
2011,"Reconstituted wood panels","Daiken New Zealand Limited",9030
2011,"Reconstituted wood panels","Dongwha New Zealand Limited",8340
2011,"Reconstituted wood panels","Fletcher Building Products Limited",1854
2011,"Reconstituted wood panels","Juken New Zealand Ltd",3756
2011,"Reconstituted wood panels","Nelson Pine Industries Limited",15094
2011,"Tissue paper","Asaleo Care New Zealand Limited",21756
2011,"Whey powder","Fonterra Ltd",1066
2012,"Aluminium smelting","New Zealand Aluminium Smelters Limited",301244
2012,"Burnt lime","Graymont (NZ) Limited",96536
2012,"Burnt lime","Holcim (New Zealand) Limited",7676
2012,"Burnt lime","Perry Lime Limited",4034
2012,"Burnt lime","Websters Hydrated Lime Company Limited",1987
2012,"Carbamide (urea)","Ballance Agri-Nutrients (Kapuni) Limited",143065
2012,"Carbon steel from cold ferrous feed","Fletcher Steel Limited",37616
2012,"Carbon steel from cold ferrous feed","KiwiRail Limited",60
2012,"Cartonboard","Whakatane Mill Limited",79480
2012,"Caustic soda","Oji Fibre Solutions (NZ) Limited",9860
2012,"Cementitious products","Fletcher Concrete and Infrastructure Limited",278421
2012,"Cementitious products","Holcim (New Zealand) Limited",174223
2012,"Clay bricks and field tiles","Clay Bricks Ltd",320
2012,"Clay bricks and field tiles","CSR Building Products (NZ) Ltd",2479
2012,"Cut roses","Daphne Avis Stocks, Stephen Lloyd Stocks",73
2012,"Cut roses","Elisabeth Margi Jordens, Theodorus Nicolaas Maria Jordens",24
2012,"Cut roses","Franko Roses New Zealand Limited",97
2012,"Cut roses","Jeffrey Guy Ward",77
2012,"Cut roses","John Hamilton Charles Falloon, Paul Gregory Whitehead, Suzanne Marie Whitehead",43
2012,"Cut roses","K & L Nurseries Limited",260
2012,"Cut roses","Moffatts Flower Company Limited",764
2012,"Cut roses","Riverland Holdings Limited",543
2012,"Cut roses","Robyn Ann Ogden-Robb, Trevor Charles Robb",97
2012,"Cut roses","Royal Roses Limited",33
2012,"Cut roses","Shipherd Nurseries Limited",675
2012,"Cut roses","Van Berlo Limited",154
2012,"Cut roses","Van Lier Nurseries Ltd",666
2012,"Ethanol","Anchor Ethanol Limited",5699
2012,"Fresh capsicums","Appleby Fresh Limited",28
2012,"Fresh capsicums","Flat-Tac Capsicums Limited",150
2012,"Fresh capsicums","Gourmet Mokai Limited",1721
2012,"Fresh capsicums","Gourmet Paprika Limited",3520
2012,"Fresh capsicums","Harbour Head Growers Limited",139
2012,"Fresh capsicums","Homestead Produce Ltd",606
2012,"Fresh capsicums","J.S.Ewers Ltd",553
2012,"Fresh capsicums","Kipps' Patch Limited",25
2012,"Fresh capsicums","M.C.H. & J. van Geest Nurseries Limited",195
2012,"Fresh capsicums","Maria Anna Van der Gulik, Pieter Van der Gulik",13
2012,"Fresh capsicums","Marion Matthews, Troy Jonathan Matthews",33
2012,"Fresh capsicums","Poppas Peppers 2009 Limited",220
2012,"Fresh capsicums","Sinai Hort Limited",371
2012,"Fresh capsicums","Southern Paprika Limited",4998
2012,"Fresh capsicums","Under Glass (Bombay) Ltd",200
2012,"Fresh capsicums","Under Glass (Karaka) Limited",768
2012,"Fresh capsicums","Whakatane Growers Limited",705
2012,"Fresh cucumbers","Alwyn Ernest Inger, Anne Marie Inger",297
2012,"Fresh cucumbers","Balvinder Singh, Pawan Kumari Singh",122
2012,"Fresh cucumbers","Exception Limited",1944
2012,"Fresh cucumbers","Hanna Hothouses Ltd",225
2012,"Fresh cucumbers","Hope Hot House Ltd",89
2012,"Fresh cucumbers","J.S.Ewers Ltd",106
2012,"Fresh cucumbers","Jai Shankar Growers Limited",197
2012,"Fresh cucumbers","Karaka Park Produce Limited",426
2012,"Fresh cucumbers","Maria Anna Van der Gulik, Pieter Van der Gulik",12
2012,"Fresh cucumbers","Meenakshi Devi Sharma, Raj Kumar Sharma",1143
2012,"Fresh cucumbers","Parkgard Growers 2000 Limited",47
2012,"Fresh cucumbers","PFD Produce Limited",153
2012,"Fresh cucumbers","Sharma Produce Limited",518
2012,"Fresh cucumbers","Under Glass (Bombay) Ltd",1567
2012,"Fresh tomatoes","Ann Christine Fair, Graeme David Fair",6
2012,"Fresh tomatoes","Antone James Ivicevich, Joanne Elizabeth Gould Ivicevich",119
2012,"Fresh tomatoes","Brigitte Abma, Ferdinand Abma",155
2012,"Fresh tomatoes","Castle Rock Orchard Ltd",292
2012,"Fresh tomatoes","Dale Calderwood Frost, Elizabeth Kay Frost",31
2012,"Fresh tomatoes","Desma Claire Duncan, Edward Malcolm Duncan",16
2012,"Fresh tomatoes","Dong Hyuk Cha, Soo Hwan Cha",1
2012,"Fresh tomatoes","Dulcie Margaret Turner, Trevor Allan Turner",56
2012,"Fresh tomatoes","Eseta Kovati, Reupena Kovati",16
2012,"Fresh tomatoes","Everard Matthew Sanders, Johanna Maria Sanders, Mathijs Albert Eduard Maria Sanders",305
2012,"Fresh tomatoes","Gordon Edward Hackett",10
2012,"Fresh tomatoes","Gourmet Mokai Limited",1457
2012,"Fresh tomatoes","Great Lake Tomatoes Limited",2001
2012,"Fresh tomatoes","Hanna Hothouses Ltd",292
2012,"Fresh tomatoes","Helen Joy Petrie, Kevin Francis Petrie",312
2012,"Fresh tomatoes","Hye Young Jung, Kyounglae Lee",66
2012,"Fresh tomatoes","IL KYU AHN",65
2012,"Fresh tomatoes","J.S.Ewers Ltd",2460
2012,"Fresh tomatoes","Jae Young Hong, Sun Young Park",66
2012,"Fresh tomatoes","Jai Shankar Growers Limited",15
2012,"Fresh tomatoes","Ji-Im Park, Won Ha Park",37
2012,"Fresh tomatoes","Karamea Tomatoes Limited",299
2012,"Fresh tomatoes","Kingbridge Ltd",45
2012,"Fresh tomatoes","Lai Ying Cuby Ng, Wa Chit Chan",34
2012,"Fresh tomatoes","Lee Wang Hothouse Limited",83
2012,"Fresh tomatoes","Lycopene Fresh Vegefruit LTD",35
2012,"Fresh tomatoes","Maria Anna Van der Gulik, Pieter Van der Gulik",11
2012,"Fresh tomatoes","Mary Jane Fausett, Peter James Fausett",79
2012,"Fresh tomatoes","Michael Theodore Gargiulo, Vicki Thresa Gargiulo",282
2012,"Fresh tomatoes","New Zealand Fresh Floria Limited",26
2012,"Fresh tomatoes","Nortonta Limited",471
2012,"Fresh tomatoes","P H Kinzett Ltd",624
2012,"Fresh tomatoes","Parkgard Growers 2000 Limited",60
2012,"Fresh tomatoes","Pomoana Gardens Limited",119
2012,"Fresh tomatoes","Rembrandt van Rijen Limited",1183
2012,"Fresh tomatoes","Status Produce Limited",6753
2012,"Fresh tomatoes","Ting-Yuan Robert Wu",71
2012,"Fresh tomatoes","Tiny Toms Limited",64
2012,"Fresh tomatoes","Under Glass (Bombay) Ltd",1611
2012,"Fresh tomatoes","Under Glass (Karaka) Limited",2568
2012,"Fresh tomatoes","Vege Fresh Growers Limited",133
2012,"Gelatine","GELITA NZ Ltd",2917
2012,"Glass containers","ACI OPERATIONS NZ LIMITED",32992
2012,"Hydrogen peroxide","EVONIK PEROXIDE LIMITED",10081
2012,"Iron and steel manufacturing from iron sand","New Zealand Steel Development Limited",1003730
2012,"Lactose","Fonterra Ltd",25210
2012,"Market pulp","Oji Fibre Solutions (NZ) Limited",145839
2012,"Market pulp","Pan Pac Forest Products Limited",108047
2012,"Market pulp","Winstone Pulp International Limited",87125
2012,"Methanol","Methanex New Zealand Ltd",390325
2012,"Newsprint","Norske Skog Tasman Ltd",215711
2012,"Packaging and industrial paper","Carter Holt Harvey Ltd",21198
2012,"Packaging and industrial paper","Oji Fibre Solutions (NZ) Limited",114228
2012,"Protein meal","Affco New Zealand Limited",5800
2012,"Protein meal","Alliance Group Limited",6325
2012,"Protein meal","Blue Sky Meats (N.Z.) Limited",402
2012,"Protein meal","CMP Canterbury Limited",3056
2012,"Protein meal","CMP Kokiri Limited",732
2012,"Protein meal","Farm Brands Limited",3109
2012,"Protein meal","Graeme Lowe Protein Limited",4860
2012,"Protein meal","Kakariki Proteins Limited",509
2012,"Protein meal","Keep It Clean Limited",1511
2012,"Protein meal","Prime Range Meats Limited",491
2012,"Protein meal","PVL Proteins Limited",2368
2012,"Protein meal","Silver Fern Farms Limited",5423
2012,"Protein meal","Taylor Preston Limited",1193
2012,"Protein meal","Tegel Foods Limited",745
2012,"Protein meal","Value Proteins Ltd",1026
2012,"Protein meal","Wallace Corporation Limited",7388
2012,"Reconstituted wood panels","Carter Holt Harvey Ltd",1067
2012,"Reconstituted wood panels","Daiken New Zealand Limited",9181
2012,"Reconstituted wood panels","Dongwha New Zealand Limited",8327
2012,"Reconstituted wood panels","Fletcher Building Products Limited",1784
2012,"Reconstituted wood panels","Juken New Zealand Ltd",3939
2012,"Reconstituted wood panels","Nelson Pine Industries Limited",15449
2012,"Tissue paper","Asaleo Care New Zealand Limited",18463
2012,"Whey powder","Fonterra Ltd",970
2013,"Aluminium smelting","New Zealand Aluminium Smelters Limited",1524172
2013,"Burnt lime","Graymont (NZ) Limited",114351
2013,"Burnt lime","Holcim (New Zealand) Limited",8310
2013,"Burnt lime","Perry Lime Limited",5522
2013,"Burnt lime","Websters Hydrated Lime Company Limited",2650
2013,"Carbamide (urea)","Ballance Agri-Nutrients (Kapuni) Limited",164361
2013,"Carbon steel from cold ferrous feed","Fletcher Steel Limited",40866
2013,"Cartonboard","Whakatane Mill Limited",80639
2013,"Caustic soda","Oji Fibre Solutions (NZ) Limited",10008
2013,"Cementitious products","Fletcher Concrete and Infrastructure Limited",282371
2013,"Cementitious products","Holcim (New Zealand) Limited",184204
2013,"Clay bricks and field tiles","CSR Building Products (NZ) Ltd",3135
2013,"Cut roses","Daphne Avis Stocks, Stephen Lloyd Stocks",76
2013,"Cut roses","Elisabeth Margi Jordens, Theodorus Nicolaas Maria Jordens",26
2013,"Cut roses","Franko Roses New Zealand Limited",105
2013,"Cut roses","John Hamilton Charles Falloon, Paul Gregory Whitehead, Suzanne Marie Whitehead",41
2013,"Cut roses","Moffatts Flower Company Limited",846
2013,"Cut roses","Riverland Holdings Limited",442
